Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
15/11/2010,25,32,29,74,0,7,3,270,3,315
16/11/2010,24,33,28,80,18,3,4,280,4,135
17/11/2010,25,32,29,78,21,6,4,320,2,315
18/11/2010,25,33,29,74,0,3,5,320,3,315
19/11/2010,25,32,29,76,0,5,4,360,3,315
20/11/2010,26,33,29,75,2,5,3,360,3,315
21/11/2010,25,31,28,86,11,3,3,360,3,0
22/11/2010,25,30,28,79,1,1,3,90,3,135
23/11/2010,25,31,28,80,0,1,4,360,3,0
24/11/2010,26,32,28,78,0,2,4,360,3,0
25/11/2010,25,31,28,82,6,3,4,320,3,315
26/11/2010,25,31,28,81,0,0,2,360,3,0
27/11/2010,25,32,29,77,0,4,3,360,3,0
28/11/2010,24,33,28,78,17,5,4,360,3,0
29/11/2010,24,32,28,84,12,5,5,320,3,315
30/11/2010,25,31,28,80,2,4,4,320,3,315
1/12/2010,25,32,28,82,0,5,4,360,3,0
2/12/2010,25,32,28,81,0,3,3,330,3,0
3/12/2010,26,31,28,81,0,2,2,360,3,0
4/12/2010,25,31,28,79,2,4,4,360,3,315
5/12/2010,25,32,28,78,0,4,6,320,3,315
6/12/2010,26,28,27,90,2,0,4,320,3,315
7/12/2010,25,30,27,82,5,2,4,360,2,0
8/12/2010,25,31,27,82,0,4,4,360,3,315
9/12/2010,25,30,27,86,9,1,3,180,3,0
10/12/2010,25,29,25,94,7,1,4,330,2,315
11/12/2010,23,27,25,91,139,0,4,270,3,270
12/12/2010,25,28,27,79,1,1,4,320,3,315
13/12/2010,25,31,30,75,2,5,7,320,3,315
14/12/2010,27,30,26,90,0,3,5,360,5,0
15/12/2010,23,29,26,85,111,3,4,320,4,315
16/12/2010,23,31,28,77,7,3,8,270,5,270
17/12/2010,26,30,27,78,0,0,7,320,6,315
18/12/2010,23,30,27,78,5,4,6,320,5,315
19/12/2010,23,30,26,86,51,3,3,320,4,315
20/12/2010,25,30,27,83,2,3,3,350,3,0
21/12/2010,24,29,28,79,8,2,1,300,3,315
22/12/2010,25,29,27,84,0,1,4,320,3,315
23/12/2010,24,30,26,86,8,3,5,320,2,315
24/12/2010,24,31,27,79,5,4,4,320,3,315
25/12/2010,25,31,28,78,0,3,3,340,3,0
26/12/2010,25,30,27,83,0,3,3,360,3,0
27/12/2010,24,31,27,78,0,3,5,300,3,315
28/12/2010,23,30,27,82,25,1,8,320,4,315
29/12/2010,23,30,27,78,21,2,5,320,4,315
30/12/2010,25,31,28,79,1,3,3,330,4,315
31/12/2010,25,31,28,80,2,3,5,320,4,315
1/1/2011,,,,,5,3,,,,0
2/1/2011,23,29,26,88,59,2,8,300,7,315
3/1/2011,25,30,28,81,8,5,5,340,4,315
4/1/2011,25,30,27,79,11,6,4,330,5,315
5/1/2011,26,29,26,82,0,1,5,350,5,315
6/1/2011,24,30,27,82,4,5,6,320,4,315
7/1/2011,26,30,27,80,0,1,6,320,4,315
8/1/2011,25,29,27,82,0,3,6,330,4,315
9/1/2011,24,30,27,80,7,5,5,330,5,315
10/1/2011,24,31,27,78,8,8,8,350,6,315
11/1/2011,24,29,25,91,19,1,8,290,8,315
12/1/2011,22,29,26,88,65,0,9,270,6,270
13/01/2011,24,29,27,82,10,3,10,270,6,270
14/01/2011,25,29,27,78,10,0,5,320,6,270
15/01/2011,25,30,27,80,0,5,5,320,5,315
16/01/2011,24,30,26,84,8,4,6,320,5,315
17/01/2011,24,30,26,85,6,3,4,270,5,270
18/01/2011,24,28,26,86,21,1,6,270,4,270
19/01/2011,24,30,27,86,2,5,8,320,4,315
20/01/2011,24,30,26,83,0,1,5,330,6,315
21/01/2011,24,28,26,88,6,3,4,330,4,315
22/01/2011,23,29,25,89,3,0,4,330,3,315
23/01/2011,24,29,26,82,2,2,4,300,2,315
24/01/2011,25,30,26,84,0,3,6,320,3,315
25/01/2011,24,30,27,78,2,6,8,300,4,315
26/01/2011,23,30,26,84,28,3,6,320,6,315
27/01/2011,25,30,27,80,0,7,6,320,4,315
28/01/2011,26,30,28,81,0,4,5,330,4,315
29/01/2011,25,30,27,84,1,5,3,350,4,315
30/01/2011,25,30,27,82,0,4,3,350,4,315
31/01/2011,25,30,26,85,1,3,6,320,3,0
1/2/2011,22,30,26,86,22,0,4,330,3,315
2/2/2011,24,29,26,87,38,0,6,350,3,270
3/2/2011,25,30,27,82,0,3,6,310,3,315
4/2/2011,25,29,27,84,1,1,5,330,4,270
5/2/2011,23,29,26,84,68,1,5,270,6,270
6/2/2011,23,29,27,79,0,2,8,270,5,270
7/2/2011,22,29,26,88,23,2,6,300,7,315
8/2/2011,25,30,27,82,8,2,5,330,6,315
9/2/2011,24,30,27,82,3,3,6,320,6,315
10/2/2011,26,31,28,83,0,8,3,330,4,315
11/2/2011,25,31,28,76,0,8,5,300,4,315
12/2/2011,26,31,28,79,0,6,6,300,4,315
13/02/2011,25,30,27,83,2,4,3,300,4,315
14/02/2011,26,31,28,79,0,4,5,330,3,315
15/02/2011,26,29,27,80,0,1,4,330,4,315
16/02/2011,24,30,27,80,11,7,8,340,5,315
17/02/2011,25,31,28,79,0,8,8,320,9,315
18/02/2011,25,30,27,78,0,3,6,300,6,315
19/02/2011,25,32,28,74,0,7,8,300,6,315
20/02/2011,24,31,27,76,0,8,8,320,6,315
21/02/2011,23,31,27,79,7,8,7,320,5,315
22/02/2011,24,30,27,83,2,4,8,360,7,315
23/02/2011,25,30,27,80,0,7,6,300,5,315
24/02/2011,24,30,27,80,0,3,5,270,4,315
25/02/2011,24,29,27,84,7,3,6,270,4,315
26/02/2011,25,30,27,83,0,1,7,350,4,315
27/02/2011,24,30,27,90,25,4,7,350,3,315
28/02/2011,24,30,25,89,6,4,6,350,3,315
1/3/2011,23,29,26,85,26,4,6,300,4,315
2/3/2011,23,30,27,82,3,5,5,300,3,315
3/3/2011,23,29,26,79,1,2,4,300,3,270
4/3/2011,25,30,27,81,0,3,6,360,3,315
5/3/2011,25,30,27,80,1,0,6,350,3,315
6/3/2011,25,30,27,81,0,2,4,350,4,315
7/3/2011,24,30,27,78,1,5,3,360,3,315
8/3/2011,25,30,27,82,3,5,5,300,3,315
9/3/2011,25,30,27,81,0,0,4,300,3,315
10/3/2011,25,30,28,82,0,5,4,350,2,315
11/3/2011,26,31,28,82,0,4,4,360,3,315
12/3/2011,25,31,27,82,2,6,4,360,3,0
13/03/2011,25,30,26,88,0,1,3,320,3,0
14/03/2011,24,31,27,81,36,4,5,360,2,315
15/03/2011,24,30,27,80,0,3,3,340,3,315
16/03/2011,24,31,27,79,0,7,5,350,2,0
17/03/2011,26,30,27,79,0,2,4,350,3,315
18/03/2011,24,31,28,80,0,7,3,360,3,315
19/03/2011,25,31,28,78,0,6,5,330,4,315
20/03/2011,25,31,28,81,0,6,5,270,5,0
21/03/2011,26,31,28,84,0,4,5,300,3,0
22/03/2011,24,29,27,86,43,1,4,360,3,0
23/03/2011,24,30,26,88,4,2,5,210,2,315
24/03/2011,24,32,27,76,26,5,3,360,4,90
25/03/2011,24,31,26,85,3,4,5,360,3,0
26/03/2011,24,30,27,82,5,3,5,360,3,315
27/03/2011,24,30,27,80,2,4,6,300,2,225
28/03/2011,24,31,27,80,12,4,6,330,3,315
29/03/2011,25,31,27,82,1,3,5,320,4,315
30/03/2011,24,31,26,86,7,6,6,360,3,315
31/03/2011,24,31,28,81,8,3,5,300,4,315
1/4/2011,25,29,26,90,1,0,6,180,3,270
2/4/2011,23,30,26,86,49,5,4,360,3,0
3/4/2011,25,31,27,83,0,4,5,200,2,0
4/4/2011,25,31,28,79,2,3,5,360,2,0
5/4/2011,25,31,27,78,0,6,5,360,3,315
